longitude,latitude,Diameter:double
218.89999,51.7,19315
217.28999,52.47,4111
216.39,53.96,12010
212.27,54.17,5574
197.53999,54.37,8979.217485
218.94,54.66,4056
208.75999,54.67,4183
218.3,54.93,4418
220.28999,55.12,4315
216.03,55.13,9109
198.8,55.17,12676
221.57001,55.23,5071
211.56,55.5,12689
217.08,55.57,6587
205.5,55.69,14721
210.97,55.83,9379
204.07001,55.92,6482
215.23,55.92,4024
202.86,56.02,7749
222.36,56.02,4856
212.77,56.1,5768
214.61,56.18,4462
222.67,56.18,4049
200.34,56.38,7415
204.00999,56.59,5030
195.52,56.61,6453
205.8,56.7,7174
221.96001,56.75,16753
205.02,56.78,8705
198.27,56.92,5565
210.66,56.96,7801
204.13,57.2,8068
208.78999,57.35,9373
216.42999,57.36,7198
196.36,57.39,4118
201.41,57.75,16656
219.02,57.75,18425
212.86,57.86,6524
214.92999,57.88,10685
210.49001,57.99,6236
207.13,58.04,7607
211.84,58.2,4050
204.85001,58.36,21297
222.46001,58.55,4381
215.32001,58.57,4779
214.75999,58.65,6731
199.35001,58.67,14880
196.3,58.7,8765
211.88,58.7,3997
222.06,58.76,6571
213.19,58.86,5850
209.12,59.06,5224
209.74001,59.07,5643
197.53,59.09,5451
195.35001,59.16,6267
196.53,59.51,4452
220.99001,59.56,4091
193.52,59.64,10544
218.81,59.68,5915
210.67999,59.7,9096
195.81,59.75,4188
208.91,59.8,5693
205.97,60.01,9134
225.3,60.04,5600
207.24001,60.06,6057
200.60001,60.18,5730
224.11,60.2,4211
216.95,60.21,19598
201.3,60.24,4594
211.53,60.64,4813
193.98,60.65,6827
205.28999,61.13,4839
206.78,61.16,7772
213,61.17,6020
208.67,61.31,5520
201.61,61.34,5064
204.03,61.47,4627
210.41,61.52,11897
196.06,61.55,5307
191.03999,61.58,16248
218.87,61.61,11764
196.66,61.62,4924
200.88,61.62,5675
222.55,61.97,4752
195.32001,62.15,7322
200.25999,62.24,5104
211.89,62.24,9416
206.99001,62.42,5435
207.81,62.42,4931
214.92999,62.49,5023
213.97,62.51,6225
224.45,62.67,7603
225.94,62.78,5297
202.63,62.81,8203
219.37,62.87,5500
221.78,62.93,6004
198.99001,62.99,4247
216.2,63.19,4013
207.72,63.21,6034
223.42999,63.25,4340
189.49001,63.3,7363
198.75,63.38,4338
204.12,63.52,4105
209.02,63.64,14104
197.59,63.9,4952
193.42999,63.91,4646
224.14999,64,4427
200.45,64.02,8645
206.87,64.1,4036
227.44,64.1,11629
214.09,64.2,9671
218.72,64.25,4466
205.5,64.27,6753
203.98,64.37,4437
220.56,64.46,9725
215.50999,64.67,5867
211.98,64.68,5429
207.69,65.09,6233
227.67999,65.13,10279
222.71001,65.17,4622
202.23,65.28,9323
215.78,65.28,5407
199.62,65.3,4016
203.39,65.31,7842
213.78999,65.33,5446
188.59,65.39,13132
202.39999,65.46,5159
220.14,65.51,4090
194.46001,65.9,5684
213.39999,65.9,6846
225.97,65.9,8774
209.75999,65.94,4360
223.16,65.96,4563
216.53,65.98,4406
227.87,66.03,4374
202.10001,66.12,6229
207,66.12,4075
190.17,66.14,4357
208.53,66.21,5914
191.52,66.44,4683
197.24001,66.44,10852
215.3,66.49,4463
229.78999,66.68,4986
216.44,66.71,4519
218.53999,66.75,4010
196.03999,66.79,4543
189.06,66.9,5676
218.11,66.94,5215
190.24001,66.95,4970
222.61,66.95,14155
200.50999,67,9919
211.38,67.11,13216
207.84,67.17,8410
203.64999,67.24,4106
