longitude,latitude,Diameter:double
217.92,67.24,4663
208.31,67.42,4008
208.75,67.43,11264
205.14,67.47,5223
226.60001,67.56,5014
218.41,67.63,4923
213.78,67.69,8923
223.71001,67.72,10885
189.07001,67.77,9381
202.38,67.83,6900
206.32001,67.85,4690
201.11,67.91,8735
186.81,68,8147
210.72,68.08,7012
211.36,68.18,6093
196.74001,68.34,7248
209.97,68.61,4262
220.66,68.69,5139
204,68.74,4231
222.17,68.99,5749
206.82001,69.01,5246
197.77,69.12,5934
205.69,69.22,5144
215.55,69.34,4112
203.92999,69.48,4046
201.39999,69.51,9432
207.92999,69.58,4369
205.53,69.61,4295
229.7,69.74,19316
196.46001,70.13,7450
199.38,70.19,4019
219.89,70.19,5519
203.35001,70.2,4098
189.61,70.24,12982
225.28,70.42,13485
231.89,70.42,4588
217.11,70.48,4015
218.31,70.68,4941
194.3,70.71,4357
222.67,70.78,7231
198.60001,70.92,5802
210.24001,71.05,4200
216.82001,71.08,5149
207.5,71.24,4051
224.35001,71.28,5370
196.31,71.3,8058
203.84,71.87,7781
223.13,71.92,6149
225.42,72.37,5424
198.41,72.39,5656
220.88,72.42,4833
220.25999,72.43,4668
189.02,72.58,4286
227.42999,72.61,5932
202.91,72.66,4314
200.66,72.7,8804
186.35001,72.89,11517
205.92,72.94,6524
214.25,72.94,4519
223.19,72.94,6652
190.92999,73,4441
219.25999,73.09,7301
204.37,73.12,5178
210.07001,73.12,7436
196.53,73.33,8666
201.50999,73.36,4481
204.8,73.43,5080
231.33,73.58,7687
225.17,73.59,6434
195.31,73.93,6104
192.42,73.94,8246
200.03,74.04,5778
228.45,74.06,4914
188.53,74.16,4114
212.07001,74.16,8606
186.07001,74.25,8636
221.58,74.29,14015
229.58,74.32,6081
189.39,74.37,5108
231.57001,74.61,4569
190.84,74.66,4861
219.17,74.82,16170
199.75999,74.85,4502
202.06,74.87,6363
188.32001,74.88,5741
228.61,74.92,5732
208.92999,74.95,6360
222.66,75.58,5453
211.84,75.77,10702
191.83,75.82,4240
196.02,76.22,5540
209.66,76.25,7126
187.14999,76.47,9369
189.50999,76.49,4743
190.95,76.57,4754
214.94,76.62,4386
207.22,76.69,10647
196.78,76.81,4145
201.22,76.82,5381
184.37,77.38,6502
211.75999,77.51,4488
198.52,77.52,8125
216.98,77.7,6718
203.34,77.73,8488
190.91,78.22,11520
184.25999,78.93,7206
196.67,78.96,11643
188.42,79.36,4237
184.92999,79.67,4464
203.48,79.76,25760
199.67999,80.16,13426
