longitude,latitude,Diameter:double
187.09,-15.64,11993.51079
198.25,-15.27,8176.053123
190.25,-15.2,22582.11233
198.77,-15.01,5067.715359
185.60001,-14.94,7899.051475
200.74001,-14.86,7305.071809
187.71001,-14.4,6600.211354
192.63,-14.07,6675.132115
188.87,-13.96,2732.050803
194.47,-13.96,7677.135658
202.02,-13.93,9007.696088
195.11,-13.86,8309.208463
185.73,-13.79,4061.485505
186.92999,-13.78,7497.040449
199.02,-13.57,8553.762723
191.31,-13.39,5067.715359
189.28999,-13.28,2170.648299
200.89999,-13.24,4061.450847
199.67999,-13.22,6312.284358
196.02,-13.17,7078.538093
202.23,-13.17,8266.993641
188.3,-12.83,5800.314345
186.52,-12.72,4866.364952
197.48,-12.7,7197.929964
190.59,-12.6,5688.450166
193.99001,-12.55,8025.434524
189.5,-12.53,5474.937091
203.38,-12.27,9606.187207
201.32001,-12.25,8343.385237
191.17,-12.19,6014.391249
196.41,-12.19,4762.18819
192.09,-12.14,2468.313797
199.08,-12.01,8466.46312
194.83,-11.98,6904.474434
192.10001,-11.77,1690.370196
201.37,-11.62,2518.256451
197.00999,-11.59,7961.127432
200.21001,-11.46,2391.519989
203.84,-11.36,6619.634306
192.49001,-11.24,4507.883798
203.39999,-11.23,4214.564348
199.98,-11.19,6669.707437
198.02,-11.14,13233.24912
191.5,-11.07,4954.963185
194.64999,-11.04,6747.667736
190.67,-10.92,5798.404478
192.23,-10.86,5128.96769
185.19,-10.67,15817.12889
191.07001,-10.58,14378.19319
195.22,-10.49,7888.007096
201.3,-10.44,2070.43973
200.69,-10.39,2609.740545
204.38,-10.32,4602.826108
196.03999,-10.28,9750.30818
202.10001,-10.17,8909.653434
197.31,-9.97,4612.058366
193.27,-9.94,15171.04852
205.5,-9.92,15813.16721
196.32001,-9.73,2416.514095
192.3,-9.71,6188.802663
203.23,-9.57,2670.999724
188.89,-9.55,5895.954636
195.84,-9.3,1972.07595
191.63,-9.29,5083.935855
205.02,-9.24,2373.143043
184.37,-8.97,9699.231323
186.53,-8.82,10859.71105
201.60001,-8.79,5910.487602
200.03999,-8.72,13118.2727
196.8,-8.67,2577.488564
183.64,-8.57,5359.812335
191.60001,-8.44,6330.312053
194.81,-8.32,6006.881018
189.11,-8.1,6129.03086
199.82001,-8.1,9491.028389
199.25999,-7.94,4959.365159
197.50999,-7.92,2438.269444
184.97,-7.88,5709.194748
199.05,-7.82,2737.960939
194.34,-7.81,4922.707778
195.89999,-7.47,2089.092698
192.53999,-7.42,12630.65223
189.63,-7.38,6064.523628
196.64999,-7.36,2503.446305
186.62,-7.33,2265.057832
188.85001,-7.3,2560.500158
191.42,-7.29,4396.298568
190.17999,-7.28,2562.373105
185.22,-7.21,5512.808916
191.12,-7.21,2743.356977
190.88,-7.12,4351.022859
183.75,-7.04,5415.858296
185.83,-6.94,6918.931529
195.22,-6.85,8148.344256
199.60001,-6.77,9184.478219
189.32001,-6.67,5677.710051
190.28,-6.64,4882.501622
192.60001,-6.6,2299.056862
196.13,-6.49,4448.975659
200.17,-6.43,9820.059356
201.46001,-6.29,2300.925909
184.12,-6.23,5625.606039
193.63,-6.2,6838.270613
191.16,-6.13,6245.842413
187.95,-6.11,13008.83653
202.25999,-6.02,2367.638401
190.85001,-5.91,6131.941912
198.66,-5.79,7545.476147
197.22,-5.77,8552.891345
201.46001,-5.55,6563.897219
186.74001,-5.53,9876.360308
192.61,-5.51,2490.486745
198.36,-5.48,2060.448382
189.74001,-5.35,1992.389396
190.86,-5.28,5633.914482
194.91,-5.21,5235.85628
185.27,-5.03,14381.13201
198.92,-4.93,2247.517648
183.67999,-4.92,7173.889308
205.28,-4.92,5774.778843
197.24001,-4.83,5240.09975
195.38,-4.71,2600.448908
187.61,-4.66,10074.55006
194.94,-4.58,4005.070561
187.53,-4.55,2697.094816
202.66,-4.53,2323.505307
204.53999,-4.38,6567.43104
193.41,-4.33,4482.014632
196.25,-4.32,4078.130006
191.67,-4.14,2754.245589
200.42,-4.03,5944.049058
198.25,-3.98,4004.598803
189.28,-3.97,12102.8435
194.48,-3.91,4171.414275
203.83,-3.79,5397.884359
198.92,-3.76,9362.746629
199.75,-3.75,4599.788117
188.17999,-3.73,6828.941632
196.49001,-3.64,7717.776946
185.61,-3.63,4238.269818
197.97,-3.63,2495.744661
202.17999,-3.49,9330.503791
185.81,-3.43,14438.98223
198.46001,-3.37,4808.517803
199.98,-3.36,2410.558897
203.49001,-3.29,2744.073644
194.53,-3.26,2743.657952
190.66,-3.16,4323.647648
194.28999,-3.07,4504.937989
189.95,-2.92,6308.359173
192.89,-2.92,10145.22927
198.86,-2.9,2339.740531
205,-2.83,5072.424084
200.59,-2.82,2458.380785
197.38,-2.8,7186.422553
205.25999,-2.79,26073.75449
191.85001,-2.45,12654.41818
200.85001,-2.31,7457.281078
202.00999,-2.27,6710.09421
193.17999,-2.11,4124.061874
194.03,-2.09,7918.316079
196.64999,-2.05,4757.807548
196.24001,-1.97,7354.319215
190.66,-1.7,2590.106215
202.48,-1.69,4692.267182
198.32001,-1.68,10885.38599
200.69,-1.67,2592.0213
