longitude,latitude,Diameter:double
220.17999,47.72,6166.887685
219.39,48.82,7204
217.98,48.94,10093
213.78,49.05,5679
214.72,49.15,5102
214.52,49.42,4373
221.19,49.7,9330.443311
215.46001,49.73,5294
213.10001,50.05,5740
219.14999,50.1,7470
210.06,50.19,8731
208.73,50.29,6241
222.19,50.4,4758
214.50999,50.57,8229
213.17999,50.7,7070
210.41,50.87,7021
211.89,50.96,8420
208.67,50.99,6334
209.22,51.05,5958
215.81,51.66,15781
218.89999,51.7,19315
199.88,51.85,6572.2762
197.75999,52.03,6339.116606
223.8,52.23,5086
222.46001,52.36,5099
217.28999,52.47,4111
196.99001,52.89,5578.45777
200.31,52.9,6645.923472
222.75999,53.04,8659
205.17,53.32,26680
202.89999,53.39,21149.09644
221.03999,53.45,21942
195.11,53.46,5058.739961
205.31,53.47,26583.28175
225.61,53.53,4285
198.47,53.92,5740.247437
216.39,53.96,12010
212.27,54.17,5574
221.75999,54.23,4696
222.77,54.31,6996
197.53999,54.37,8979.217485
196.13,54.41,7536.557532
201.58,54.51,7950.895471
218.94,54.66,4056
208.75999,54.67,4183
193.03999,54.72,10490.78244
218.3,54.93,4418
195.8,55.1,11110.3406
220.28999,55.12,4315
216.03,55.13,9109
198.8,55.17,12676
221.57001,55.23,5071
191.27,55.32,4213
194.25,55.43,4289
192.60001,55.45,4754
193.72,55.46,5064
211.56,55.5,12689
217.08,55.57,6587
195.5,55.65,6256
205.5,55.69,14721
210.97,55.83,9379
204.07001,55.92,6482
215.23,55.92,4024
202.86,56.02,7749
222.36,56.02,4856
212.77,56.1,5768
214.61,56.18,4462
222.67,56.18,4049
200.34,56.38,7415
191.24001,56.41,4990
204.00999,56.59,5030
195.52,56.61,6453
205.8,56.7,7174
221.96001,56.75,16753
205.02,56.78,8705
194.41,56.92,7534
198.27,56.92,5565
210.66,56.96,7801
191.00999,56.98,3995
228.47,57.1,6606
204.13,57.2,8068
192.45,57.27,5162
208.78999,57.35,9373
216.42999,57.36,7198
196.36,57.39,4118
226.52,57.63,4670
201.41,57.75,16656
219.02,57.75,18425
225.59,57.81,6145
212.86,57.86,6524
214.92999,57.88,10685
210.49001,57.99,6236
207.13,58.04,7607
189.86,58.09,6189
229.83,58.18,5447
211.84,58.2,4050
204.85001,58.36,21297
224.72,58.52,5817
222.46001,58.55,4381
215.32001,58.57,4779
214.75999,58.65,6731
199.35001,58.67,14880
196.3,58.7,8765
211.88,58.7,3997
222.06,58.76,6571
187.87,58.77,6783
192.49001,58.85,6817
213.19,58.86,5850
188.44,58.94,6582
209.12,59.06,5224
209.74001,59.07,5643
197.53,59.09,5451
195.35001,59.16,6267
190.39,59.29,11972
196.53,59.51,4452
220.99001,59.56,4091
193.52,59.64,10544
218.81,59.68,5915
210.67999,59.7,9096
195.81,59.75,4188
208.91,59.8,5693
186.85001,59.93,6572
205.97,60.01,9134
225.3,60.04,5600
207.24001,60.06,6057
200.60001,60.18,5730
224.11,60.2,4211
216.95,60.21,19598
201.3,60.24,4594
230.39999,60.43,5082
191.49001,60.5,5614
211.53,60.64,4813
193.98,60.65,6827
232.11,60.75,11181
186.41,60.99,5423
205.28999,61.13,4839
206.78,61.16,7772
213,61.17,6020
189.34,61.29,13010
208.67,61.31,5520
201.61,61.34,5064
204.03,61.47,4627
210.41,61.52,11897
196.06,61.55,5307
191.03999,61.58,16248
218.87,61.61,11764
196.66,61.62,4924
200.88,61.62,5675
222.55,61.97,4752
195.32001,62.15,7322
188.74001,62.18,4431
200.25999,62.24,5104
211.89,62.24,9416
206.99001,62.42,5435
207.81,62.42,4931
185.42999,62.44,5596
214.92999,62.49,5023
213.97,62.51,6225
224.45,62.67,7603
225.94,62.78,5297
202.63,62.81,8203
219.37,62.87,5500
229.42999,62.88,20107
221.78,62.93,6004
198.99001,62.99,4247
187.73,63.18,4712
216.2,63.19,4013
207.72,63.21,6034
223.42999,63.25,4340
189.49001,63.3,7363
198.75,63.38,4338
204.12,63.52,4105
209.02,63.64,14104
234.58,63.73,14509
