longitude,latitude,Diameter:double
282.22,-13.01,5809.222808
293.10999,-13.28,5747.105007
289.98001,-3.61,5727.036611
294.37,5.81,5699.59053
276,5.11,5683.95748
273.13,-8.95,5680.777884
281.04999,2.31,5632.76428
286.81,-13.37,5620.903359
294.67001,-5,5589.616334
284.07999,-10.53,5584.108171
283.14001,-1.15,5542.139527
274.75,0.62,5512.96376
279.88,-0.8,5486.311103
292.34,-4.68,5486.075005
284.35999,7.95,5479.07084
284.03,-2.17,5461.270833
277.79999,4.54,5403.7024
282.42999,0.41,5384.42024
285.32999,6.24,5376.428556
287.03,9.18,5376.062315
291.23001,-10.01,5350.314849
274.26999,-4.2,5350.26406
284.25,-13.36,5315.225699
277.29999,3.01,5303.77224
290.29999,-0.22,5183.841567
284.79001,0.05,5142.437444
279.09,-3.09,5104.951116
288.26001,5.44,5061.046465
284.98999,10.97,5022.51954
299.07999,-15.79,4984.9767
288.51001,-4.65,4984.956675
279.62,9.74,4984.956675
293.69,-5.6,4984.949742
287.60999,10.46,4978.941206
279.79001,-3.53,4970.260094
278.23001,-14,4951.72432
298.04001,-10.78,4941.752526
295.01999,-12.69,4926.221714
290.51001,-6.29,4925.067653
287.14999,5.73,4905.689941
274.57999,-6.88,4901.245823
278.82999,-8.15,4899.102054
274.60001,-12.63,4827.696893
285.92999,4.37,4804.16488
297.47,-14.68,4781.33284
284.88,-14.31,4773.531212
277.04999,-2.8,4747.399784
291.10001,6.26,4735.634924
296.45999,-6.34,4731.178821
290.01001,-8.9,4727.077214
280.35001,9.2,4721.332118
277.10999,0.81,4704.762
289.23999,-15.94,4699.402721
280.89001,9.49,4691.403959
294.54001,-4.12,4665.968598
285.5,-15.63,4659.614971
275.34,-0.01,4655.59845
278.48999,6.45,4632.375159
273.63,-8.28,4629.643959
279.92999,3.73,4603.31296
291.76999,-4.96,4583.574251
277.64999,5.96,4563.8904
297.19,-6.4,4530.115664
286.42001,6.3,4518.044444
278.64001,-0.27,4517.020316
281.76001,8.94,4500.551425
285.42001,7.98,4500.551425
297.66,-2.29,4491.626596
293.48001,-9.64,4480.875276
285.29999,-3.5,4433.176625
292.32001,-10.26,4419.933088
279.38,7.45,4408.574402
286.06,8.76,4392.770092
283.66,9.11,4384.388588
286.25,0.58,4299.34108
279.76999,11.1,4297.524911
277.12,9,4294.049827
275.98999,-13.27,4287.004844
292.91,-8.15,4284.039466
295.20999,-15.71,4283.277172
289.54001,-13.96,4280.491606
288.26001,-15.18,4278.348823
286.69,-0.92,4245.538134
287.57999,-4.24,4244.629565
292.37,-11.13,4242.816751
282.63,-0.09,4240.405301
296.20001,-11.45,4236.444229
292.76999,-12.04,4233.044943
290.29001,5.77,4228.689453
279.04999,-2.33,4226.310819
281.54001,-3.6,4214.254393
291.85999,-5.83,4202.950054
293.09,-6.24,4132.288667
285.20001,-10.73,4126.436907
279.35001,2.87,4123.1848
288.53,1.22,4119.71652
296.25,-11.01,4105.184762
296.53,1.55,4103.7794
285.37,1.13,4100
283.72,-15.79,4087.6629
283.79999,0.65,4060.78808
285.54001,1.58,4052.93156
285.34,-3.9,4041.667566
279.67001,-15.31,4040.678269
280.42001,10.58,4037.711787
294.57999,-12.28,4033.824712
289.85001,8.79,4016.310905
286.47,9.2,4004.653116
291.67999,8.79,3995.469476
